PO_ID,Vendor_ID,Product_Category,Product_SKU,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Ordered_Quantity,Unit_Price_INR,Total_Order_Value,Order_Status,Warehouse_ID,Delivery_Delay_Days,Late_Delivery,Order_Month,Order_Quarter
PO0000083,VND00632,Spare Parts,SKU3231,2021-07-20,2021-08-15,2021-08-15,4797,2389.1,11460512.7,Cancelled,WH10,0,0,2021-07,2021Q3
PO0011770,VND00590,Packaging,SKU1942,2022-06-19,2022-07-15,2022-07-20,3315,4341.75,14392901.25,Pending,WH04,5,1,2022-06,2022Q2
PO0029506,VND00123,Chemicals,SKU3982,2023-05-24,2023-06-08,2023-06-05,2984,4512.47,13465210.48,Received,WH04,-3,0,2023-05,2023Q2
PO0012854,VND00685,Packaging,SKU1111,2021-11-01,2021-11-07,2021-11-07,2950,2756.5,8131675.0,Received,WH08,0,0,2021-11,2021Q4
PO0019216,VND00427,Chemicals,SKU3996,2023-03-08,2023-03-25,2023-04-09,4158,1174.2,4882323.6,Partially Received,WH01,15,1,2023-03,2023Q1
PO0019297,VND00499,Spare Parts,SKU3303,2024-02-20,2024-03-16,2024-03-31,3427,2761.05,9462118.35,Cancelled,WH01,15,1,2024-02,2024Q1
PO0045467,VND00759,Packaging,SKU1533,2023-08-23,2023-09-03,2023-10-03,3388,1390.87,4712267.56,Partially Received,WH10,30,1,2023-08,2023Q3
PO0011280,VND00490,IT Equipment,SKU1417,2022-04-08,2022-04-18,2022-04-15,706,3336.09,2355279.54,Pending,WH03,-3,0,2022-04,2022Q2
PO0000460,VND00715,Machinery,SKU3233,2024-07-31,2024-08-13,2024-08-13,2129,2385.27,5078239.83,Pending,WH04,0,0,2024-07,2024Q3
PO0035398,VND00488,Packaging,SKU1256,2022-05-18,2022-05-29,2022-05-29,638,1127.58,719396.04,Cancelled,WH10,0,0,2022-05,2022Q2
PO0046399,VND00350,Chemicals,SKU4781,2022-11-16,2022-12-04,2022-12-04,4608,119.66,551393.28,In Transit,WH04,0,0,2022-11,2022Q4
PO0009293,VND00518,Packaging,SKU3263,2022-12-03,2022-12-30,2023-01-29,1263,505.9,638951.7,Received,WH05,30,1,2022-12,2022Q4
PO0040744,VND00684,Textiles,SKU4642,2024-05-14,2024-06-01,2024-06-16,1240,78.71,97600.4,Pending,WH06,15,1,2024-05,2024Q2
PO0021010,VND00214,Electronics,SKU1973,2023-12-24,2023-12-31,2023-12-31,1670,584.35,975864.5,Pending,WH08,0,0,2023-12,2023Q4
PO0009666,VND00227,Packaging,SKU5603,2023-10-01,2023-10-26,2023-11-05,756,254.38,192311.28,In Transit,WH01,10,1,2023-10,2023Q4
PO0027140,VND00134,Electronics,SKU2633,2021-04-05,2021-04-27,2021-04-24,1569,623.49,978255.81,Partially Received,WH05,-3,0,2021-04,2021Q2
PO0038216,VND00322,Textiles,SKU1637,2022-12-03,2022-12-22,,3790,4677.62,17728179.8,Pending,WH04,,,2022-12,2022Q4
PO0036379,VND00215,Packaging,SKU4802,2021-02-14,2021-03-02,2021-02-27,3533,3521.24,12440540.92,Cancelled,WH02,-3,0,2021-02,2021Q1
PO0029399,VND00469,Raw Material,SKU2560,2023-06-23,2023-07-02,2023-07-12,2247,539.97,1213312.59,Pending,WH06,10,1,2023-06,2023Q2
PO0002605,VND00324,Raw Material,SKU2409,2021-05-28,2021-06-02,2021-06-02,3589,4098.84,14710736.76,Cancelled,WH01,0,0,2021-05,2021Q2
PO0036194,VND00083,Spare Parts,SKU1488,2021-01-18,2021-01-27,2021-02-11,1717,2194.5,3767956.5,Received,WH07,15,1,2021-01,2021Q1
PO0012425,VND00801,Textiles,SKU3493,2021-08-27,2021-09-14,2021-09-19,1757,3078.5,5408924.5,Received,WH05,5,1,2021-08,2021Q3
PO0018063,VND00067,Textiles,SKU1494,2024-01-25,2024-02-10,2024-02-10,1714,1794.15,3075173.1,Pending,WH06,0,0,2024-01,2024Q1
PO0014312,VND00718,Machinery,SKU3001,2022-08-02,2022-08-11,2022-08-26,2441,3747.45,9147525.45,Cancelled,WH04,15,1,2022-08,2022Q3
PO0027053,VND00139,Spare Parts,SKU1160,2022-10-15,2022-11-02,2022-10-30,3938,3311.72,13041553.36,Pending,WH01,-3,0,2022-10,2022Q4
PO0023234,VND00806,Spare Parts,SKU4008,2024-10-08,2024-10-13,2024-10-28,272,3593.07,977315.04,Received,WH03,15,1,2024-10,2024Q4
PO0048882,VND00894,Raw Material,SKU1040,2022-11-07,2022-11-24,2022-11-29,1245,3779.88,4705950.6,Received,WH06,5,1,2022-11,2022Q4
PO0033275,VND00908,Packaging,SKU1008,2023-07-24,2023-08-21,2023-08-21,2972,3638.82,10814573.04,In Transit,WH10,0,0,2023-07,2023Q3
PO0018915,VND00532,Packaging,SKU5125,2024-09-29,2024-10-16,2024-10-16,4441,810.32,3598631.12,In Transit,WH10,0,0,2024-09,2024Q3
PO0004993,VND00042,Textiles,SKU1089,2022-05-19,2022-06-16,2022-06-26,4701,434.6,2043054.6,Cancelled,WH10,10,1,2022-05,2022Q2
PO0008755,VND00935,Spare Parts,SKU5302,2021-01-01,2021-01-17,2021-01-19,595,2491.25,1482293.75,Cancelled,WH05,2,1,2021-01,2021Q1
PO0008910,VND00532,Chemicals,SKU2849,2024-01-20,2024-01-29,2024-01-29,2439,691.88,1687495.32,Pending,WH07,0,0,2024-01,2024Q1
PO0007940,VND00646,Machinery,SKU3059,2024-07-07,2024-07-31,2024-07-31,4206,1945.96,8184707.76,Cancelled,WH08,0,0,2024-07,2024Q3
PO0017547,VND00742,Packaging,SKU3727,2023-08-30,2023-09-22,2023-10-22,1490,2890.3,4306547.0,Pending,WH10,30,1,2023-08,2023Q3
PO0034141,VND00202,IT Equipment,SKU2571,2023-03-05,2023-03-19,2023-03-21,955,1981.42,1892256.1,Partially Received,WH08,2,1,2023-03,2023Q1
PO0049806,VND00274,Raw Material,SKU3202,2023-09-15,2023-10-13,2023-10-15,3177,2801.27,8899634.79,Partially Received,WH08,2,1,2023-09,2023Q3
PO0007005,VND00816,Spare Parts,SKU5094,2023-11-20,2023-12-04,,1744,2188.96,3817546.24,Partially Received,WH09,,,2023-11,2023Q4
PO0047629,VND00116,Chemicals,SKU5949,2021-05-04,2021-05-24,2021-06-23,2507,4288.09,10750241.63,Partially Received,WH03,30,1,2021-05,2021Q2
PO0040596,VND00110,Packaging,SKU4472,2023-11-14,2023-12-09,2023-12-09,878,1765.33,1549959.74,Pending,WH05,0,0,2023-11,2023Q4
PO0012397,VND00065,Raw Material,SKU5640,2024-12-09,2025-01-05,2025-01-07,2988,3503.71,10469085.48,Partially Received,WH02,2,1,2024-12,2024Q4
PO0028841,VND00385,Raw Material,SKU1954,2023-04-14,2023-05-05,2023-05-10,1309,3252.71,4257797.39,Pending,WH02,5,1,2023-04,2023Q2
PO0011773,VND00145,IT Equipment,SKU5482,2021-12-18,2022-01-07,2022-01-07,1901,3667.22,6971385.22,Cancelled,WH07,0,0,2021-12,2021Q4
PO0022411,VND00585,Packaging,SKU4776,2021-11-27,2021-12-21,2021-12-18,2814,3814.24,10733271.36,Partially Received,WH06,-3,0,2021-11,2021Q4
PO0028907,VND00708,Spare Parts,SKU3153,2021-03-16,2021-03-22,2021-03-22,615,3252.0,1999980.0,Received,WH03,0,0,2021-03,2021Q1
PO0017807,VND00710,Chemicals,SKU2779,2022-07-14,2022-07-31,2022-08-02,1462,3168.76,4632727.12,Received,WH10,2,1,2022-07,2022Q3
PO0010219,VND00034,Raw Material,SKU1758,2022-05-18,2022-06-11,2022-06-11,4599,228.77,1052113.23,In Transit,WH10,0,0,2022-05,2022Q2
PO0045166,VND00484,Textiles,SKU4064,2022-04-20,2022-05-15,2022-05-12,1962,1159.47,2274880.14,Cancelled,WH06,-3,0,2022-04,2022Q2
PO0036919,VND00382,Chemicals,SKU3257,2022-12-17,2022-12-22,2022-12-22,396,829.19,328359.24,Received,WH08,0,0,2022-12,2022Q4
PO0005075,VND00312,Packaging,SKU5746,2024-11-08,2024-11-29,2024-11-29,3189,2856.78,9110271.42,Received,WH03,0,0,2024-11,2024Q4
PO0010873,VND00892,IT Equipment,SKU2719,2024-04-04,2024-04-10,2024-04-10,3611,761.15,2748512.65,Pending,WH06,0,0,2024-04,2024Q2
PO0003503,VND00291,Spare Parts,SKU2246,2024-05-21,2024-05-30,2024-06-01,4243,4284.9,18180830.7,Received,WH02,2,1,2024-05,2024Q2
PO0007430,VND00798,IT Equipment,SKU1292,2024-06-21,2024-07-20,2024-07-25,1448,1061.11,1536487.28,Partially Received,WH08,5,1,2024-06,2024Q2
PO0010205,VND00532,Electronics,SKU1525,2022-04-26,2022-05-03,2022-05-03,347,472.71,164030.37,In Transit,WH08,0,0,2022-04,2022Q2
PO0028264,VND00009,Textiles,SKU3448,2023-07-28,2023-08-26,2023-08-26,3153,967.12,3049329.36,Partially Received,WH05,0,0,2023-07,2023Q3
PO0016392,VND00778,IT Equipment,SKU4141,2024-11-23,2024-12-12,2024-12-12,1914,2634.17,5041801.38,Partially Received,WH05,0,0,2024-11,2024Q4
PO0022823,VND00409,Textiles,SKU3298,2023-12-25,2024-01-06,2024-01-06,343,2404.74,824825.82,In Transit,WH07,0,0,2023-12,2023Q4
PO0030749,VND00742,Chemicals,SKU1650,2023-04-28,2023-05-14,2023-05-14,884,4058.43,3587652.12,Received,WH03,0,0,2023-04,2023Q2
PO0026809,VND00005,Raw Material,SKU5303,2021-11-07,2021-12-06,2021-12-08,1223,1958.5,2395245.5,Received,WH09,2,1,2021-11,2021Q4
PO0003312,VND00205,Machinery,SKU2424,2023-05-29,2023-06-07,2023-06-07,2456,3088.48,7585306.88,Cancelled,WH02,0,0,2023-05,2023Q2
PO0027527,VND00899,Electronics,SKU5675,2023-06-16,2023-06-27,2023-06-24,4079,1952.97,7966164.63,Received,WH08,-3,0,2023-06,2023Q2
PO0004067,VND00871,Chemicals,SKU1675,2021-04-20,2021-05-04,2021-05-01,1014,1723.68,1747811.52,Pending,WH02,-3,0,2021-04,2021Q2
PO0029296,VND00233,Packaging,SKU4791,2021-08-27,2021-09-21,2021-09-21,2342,601.26,1408150.92,Unknown,WH02,0,0,2021-08,2021Q3
PO0027329,VND00298,Machinery,SKU4353,2022-03-28,2022-04-06,,1455,733.72,1067562.6,Received,WH07,,,2022-03,2022Q1
PO0014602,VND00001,Raw Material,SKU5094,2024-12-03,2024-12-18,2025-01-02,1525,1902.57,2901419.25,Partially Received,WH07,15,1,2024-12,2024Q4
PO0040178,VND00736,Raw Material,SKU4232,2022-09-25,2022-10-06,2022-10-06,4482,954.42,4277710.44,Pending,WH06,0,0,2022-09,2022Q3
PO0026118,VND00407,Electronics,SKU5908,2023-04-14,2023-04-23,2023-04-28,4167,3303.68,13766434.56,Partially Received,WH10,5,1,2023-04,2023Q2
PO0006748,VND00718,Machinery,SKU1029,2024-09-24,2024-10-11,2024-10-16,3394,173.86,590080.84,Pending,WH09,5,1,2024-09,2024Q3
PO0041362,VND00952,Electronics,SKU2996,2023-04-12,2023-05-02,,3156,472.58,1491462.48,Received,WH02,,,2023-04,2023Q2
PO0038875,VND00196,Electronics,SKU1321,2023-02-01,2023-02-17,2023-02-14,3465,2532.47,8775008.55,Pending,WH08,-3,0,2023-02,2023Q1
PO0035237,VND00765,Spare Parts,SKU4039,2023-05-18,2023-06-01,2023-06-16,1517,218.3,331161.1,Pending,WH05,15,1,2023-05,2023Q2
PO0003123,VND00514,Raw Material,SKU4302,2023-04-10,2023-05-05,2023-05-07,3703,4955.53,18350327.59,Received,WH02,2,1,2023-04,2023Q2
PO0032452,VND00686,Machinery,SKU4045,2024-11-11,2024-12-02,2024-12-02,3957,3013.24,11923390.68,Partially Received,WH10,0,0,2024-11,2024Q4
PO0026909,VND00686,Raw Material,SKU3008,2023-06-05,2023-06-20,2023-06-22,4189,675.11,2828035.79,Received,WH01,2,1,2023-06,2023Q2
PO0005941,VND00674,Textiles,SKU1539,2021-02-05,2021-02-12,2021-02-14,1320,3909.35,5160342.0,Received,WH01,2,1,2021-02,2021Q1
PO0023385,VND00950,Chemicals,SKU2589,2021-04-17,2021-04-24,2021-04-24,3361,4094.49,13761580.89,Partially Received,WH06,0,0,2021-04,2021Q2
PO0013228,VND00411,Machinery,SKU2044,2021-07-13,2021-08-04,2021-08-14,2829,684.61,1936761.69,Received,WH10,10,1,2021-07,2021Q3
PO0008469,VND00842,Packaging,SKU4885,2023-12-20,2023-12-27,2024-01-06,889,3294.5,2928810.5,Pending,WH05,10,1,2023-12,2023Q4
PO0031550,VND00821,Chemicals,SKU3971,2023-09-12,2023-10-06,2023-10-16,1636,3634.95,5946778.2,Cancelled,WH08,10,1,2023-09,2023Q3
PO0017335,VND00965,Electronics,SKU1058,2022-12-16,2022-12-26,2023-01-25,770,228.67,176075.9,Received,WH05,30,1,2022-12,2022Q4
PO0042650,VND00830,Spare Parts,SKU5976,2022-05-01,2022-05-27,2022-06-01,4966,1777.63,8827710.58,Cancelled,WH06,5,1,2022-05,2022Q2
PO0033414,VND00407,Spare Parts,SKU4486,2023-02-10,2023-03-03,2023-04-02,2145,3057.71,6558787.95,Cancelled,WH01,30,1,2023-02,2023Q1
PO0044490,VND00314,IT Equipment,SKU4015,2023-11-29,2023-12-23,2023-12-23,2299,4344.6,9988235.4,Received,WH04,0,0,2023-11,2023Q4
PO0038158,VND00412,Packaging,SKU3899,2021-11-08,2021-11-18,2021-11-18,1695,2298.41,3895804.95,Received,WH05,0,0,2021-11,2021Q4
PO0026991,VND00452,Machinery,SKU1545,2022-02-06,2022-02-11,2022-02-08,3246,2646.98,8592097.08,Pending,WH07,-3,0,2022-02,2022Q1
PO0008999,VND00755,Electronics,SKU2781,2023-10-21,2023-10-27,2023-10-27,3697,3182.67,11766330.99,Cancelled,WH07,0,0,2023-10,2023Q4
PO0045451,VND00002,Chemicals,SKU1933,2022-07-07,2022-07-13,2022-07-10,3915,3544.03,13874877.45,Pending,WH06,-3,0,2022-07,2022Q3
PO0019653,VND00882,IT Equipment,SKU1560,2024-07-12,2024-08-09,2024-08-24,644,939.16,604819.04,Received,WH06,15,1,2024-07,2024Q3
PO0013651,VND00948,Textiles,SKU2262,2022-06-21,2022-07-02,2022-07-17,4252,1402.42,5963089.84,In Transit,WH09,15,1,2022-06,2022Q2
PO0015142,VND00377,Spare Parts,SKU5294,2021-01-03,2021-01-08,2021-01-08,1735,2355.87,4087434.45,Cancelled,WH02,0,0,2021-01,2021Q1
PO0023391,VND00298,IT Equipment,SKU1968,2023-01-27,2023-02-16,2023-02-16,2732,1849.04,5051577.28,Pending,WH07,0,0,2023-01,2023Q1
PO0028308,VND00210,Machinery,SKU5010,2023-11-18,2023-12-17,2024-01-01,1196,2710.64,3241925.44,Pending,WH02,15,1,2023-11,2023Q4
PO0038668,VND00502,IT Equipment,SKU2051,2023-04-02,2023-04-19,2023-04-19,2122,3903.05,8282272.1,In Transit,WH02,0,0,2023-04,2023Q2
PO0041350,VND00603,Electronics,SKU5082,2023-08-24,2023-09-02,2023-09-04,4911,4838.14,23760105.54,Cancelled,WH02,2,1,2023-08,2023Q3
PO0026888,VND00381,Packaging,SKU5569,2021-02-09,2021-02-25,2021-03-07,1453,1661.24,2413781.72,Received,WH07,10,1,2021-02,2021Q1
PO0006659,VND00383,Machinery,SKU4827,2022-04-12,2022-04-26,2022-04-28,4230,3872.59,16381055.7,Unknown,WH03,2,1,2022-04,2022Q2
PO0016891,VND00552,Textiles,SKU5115,2021-10-07,2021-10-30,,2363,1350.16,3190428.08,Partially Received,WH02,,,2021-10,2021Q4
PO0002231,VND00160,Textiles,SKU2322,2022-02-09,2022-02-16,2022-02-21,1199,2198.48,2635977.52,Partially Received,WH01,5,1,2022-02,2022Q1
PO0027581,VND00227,Packaging,SKU4511,2021-10-15,2021-11-01,2021-11-11,653,18.3,11949.9,In Transit,WH04,10,1,2021-10,2021Q4
PO0004330,VND00997,Raw Material,SKU3811,2021-10-10,2021-10-27,2021-10-27,4075,30.45,124083.75,Cancelled,WH01,0,0,2021-10,2021Q4
PO0037713,VND00266,Electronics,SKU5358,2023-06-24,2023-06-29,2023-07-04,1328,762.1,1012068.8,In Transit,WH06,5,1,2023-06,2023Q2
PO0033641,VND00604,Chemicals,SKU2384,2022-07-15,2022-08-06,2022-08-11,3614,3331.27,12039209.78,Pending,WH09,5,1,2022-07,2022Q3
PO0002846,VND00097,Spare Parts,SKU1007,2023-10-28,2023-11-03,2023-10-31,2650,1722.18,4563777.0,In Transit,WH02,-3,0,2023-10,2023Q4
PO0019891,VND00046,Packaging,SKU4960,2024-06-05,2024-06-12,2024-06-17,3158,1177.85,3719650.3,Pending,WH06,5,1,2024-06,2024Q2
PO0041729,VND00856,IT Equipment,SKU3669,2023-10-30,2023-11-07,2023-11-17,1165,1134.4,1321576.0,Cancelled,WH08,10,1,2023-10,2023Q4
PO0044045,VND00341,Machinery,SKU3087,2022-04-05,2022-04-29,2022-04-29,1640,4974.43,8158065.2,Pending,WH01,0,0,2022-04,2022Q2
PO0015567,VND00347,Machinery,SKU4350,2022-05-12,2022-05-26,2022-05-26,3035,4378.89,13289931.15,Pending,WH05,0,0,2022-05,2022Q2
PO0017341,VND00730,Textiles,SKU3708,2024-09-03,2024-09-20,2024-10-20,193,3899.46,752595.78,Partially Received,WH01,30,1,2024-09,2024Q3
PO0036485,VND00768,Machinery,SKU5501,2024-04-03,2024-04-20,2024-04-17,4919,695.29,3420131.51,In Transit,WH10,-3,0,2024-04,2024Q2
PO0036873,VND00871,Raw Material,SKU4874,2021-03-19,2021-03-31,2021-04-05,827,7.82,6467.14,Pending,WH08,5,1,2021-03,2021Q1
PO0047203,VND00364,Textiles,SKU2154,2021-04-29,2021-05-24,2021-05-24,2372,4174.68,9902340.96,Unknown,WH07,0,0,2021-04,2021Q2
PO0020105,VND00448,Electronics,SKU4795,2022-10-21,2022-11-02,2022-10-30,3629,4786.75,17371115.75,In Transit,WH09,-3,0,2022-10,2022Q4
PO0007195,VND00612,Chemicals,SKU3338,2023-01-01,2023-01-25,2023-01-30,2237,4456.53,9969257.61,Partially Received,WH10,5,1,2023-01,2023Q1
PO0035882,VND00308,IT Equipment,SKU4278,2022-12-27,2023-01-19,2023-02-03,1999,4774.84,9544905.16,In Transit,WH04,15,1,2022-12,2022Q4
PO0021484,VND00315,Spare Parts,SKU1836,2022-10-23,2022-11-15,2022-11-15,3134,1816.01,5691375.34,Cancelled,WH03,0,0,2022-10,2022Q4
PO0037850,VND00057,IT Equipment,SKU3088,2023-08-12,2023-08-24,2023-08-24,2071,4538.75,9399751.25,Partially Received,WH09,0,0,2023-08,2023Q3
PO0029614,VND00151,Spare Parts,SKU5218,2022-11-07,2022-11-15,2022-12-15,1234,2183.23,2694105.82,Received,WH09,30,1,2022-11,2022Q4
PO0005240,VND00115,Machinery,SKU1333,2024-02-23,2024-03-08,2024-03-05,724,4883.23,3535458.52,Cancelled,WH06,-3,0,2024-02,2024Q1
PO0041148,VND00378,Chemicals,SKU2032,2021-07-15,2021-07-26,2021-08-25,2380,1965.46,4677794.8,Cancelled,WH02,30,1,2021-07,2021Q3
PO0001110,VND00121,Raw Material,SKU4113,2023-11-03,2023-11-09,2023-11-14,948,4403.72,4174726.56,Partially Received,WH01,5,1,2023-11,2023Q4
PO0009081,VND00141,Packaging,SKU3714,2021-11-14,2021-12-02,2021-12-02,2847,1065.41,3033222.27,Received,WH10,0,0,2021-11,2021Q4
PO0011979,VND00816,IT Equipment,SKU2728,2024-06-22,2024-07-17,2024-07-17,3973,3104.09,12332549.57,Partially Received,WH06,0,0,2024-06,2024Q2
PO0024646,VND00607,Chemicals,SKU3103,2022-06-05,2022-06-13,2022-07-13,2208,1622.8,3583142.4,Pending,WH01,30,1,2022-06,2022Q2
PO0048883,VND00182,Packaging,SKU5391,2023-04-05,2023-04-15,2023-04-20,2172,1253.52,2722645.44,Partially Received,WH03,5,1,2023-04,2023Q2
PO0013111,VND00982,Raw Material,SKU5358,2022-05-24,2022-06-02,2022-06-02,2809,4233.27,11891255.43,Received,WH04,0,0,2022-05,2022Q2
PO0023127,VND00882,IT Equipment,SKU5147,2024-11-28,2024-12-17,2024-12-14,1316,3712.29,4885373.64,Partially Received,WH09,-3,0,2024-11,2024Q4
PO0020414,VND00217,IT Equipment,SKU5296,2021-08-18,2021-09-08,2021-09-08,2509,286.72,719380.48,Cancelled,WH02,0,0,2021-08,2021Q3
PO0011951,VND00228,IT Equipment,SKU2839,2021-09-23,2021-10-03,2021-09-30,3385,593.58,2009268.3,Pending,WH03,-3,0,2021-09,2021Q3
PO0040940,VND00964,IT Equipment,SKU5125,2024-08-19,2024-09-13,2024-09-18,4221,2408.73,10167249.33,Cancelled,WH10,5,1,2024-08,2024Q3
PO0042959,VND00889,Electronics,SKU1459,2022-11-01,2022-11-15,2022-11-17,3811,2698.12,10282535.32,Partially Received,WH05,2,1,2022-11,2022Q4
PO0039086,VND00411,Chemicals,SKU3695,2024-10-21,2024-11-01,2024-10-29,3359,3237.23,10873855.57,Cancelled,WH09,-3,0,2024-10,2024Q4
PO0021521,VND00068,Machinery,SKU3595,2021-02-20,2021-03-03,2021-03-03,4888,3483.32,17026468.16,Received,WH06,0,0,2021-02,2021Q1
PO0001372,VND00710,Machinery,SKU3782,2024-07-25,2024-08-09,2024-08-19,2174,2657.98,5778448.52,In Transit,WH07,10,1,2024-07,2024Q3
PO0021877,VND00357,Spare Parts,SKU4586,2021-12-16,2022-01-09,2022-01-14,3483,748.25,2606154.75,Pending,WH07,5,1,2021-12,2021Q4
PO0016841,VND00220,Electronics,SKU1335,2022-02-07,2022-02-19,2022-03-06,541,740.49,400605.09,Partially Received,WH10,15,1,2022-02,2022Q1
PO0026538,VND00651,Spare Parts,SKU1559,2024-01-14,2024-02-09,2024-02-24,220,3249.37,714861.4,Partially Received,WH07,15,1,2024-01,2024Q1
PO0048681,VND00189,Chemicals,SKU3025,2024-03-01,2024-03-06,2024-03-06,1912,805.1,1539351.2,Received,WH05,0,0,2024-03,2024Q1
PO0042327,VND00281,Machinery,SKU5188,2022-10-12,2022-10-19,2022-10-24,55,2342.19,128820.45,Received,WH08,5,1,2022-10,2022Q4
PO0041625,VND00239,Machinery,SKU4843,2023-11-02,2023-11-09,2023-11-24,857,3565.85,3055933.45,Cancelled,WH10,15,1,2023-11,2023Q4
PO0022320,VND00665,Electronics,SKU1559,2023-06-09,2023-07-04,2023-07-04,813,2946.79,2395740.27,Partially Received,WH01,0,0,2023-06,2023Q2
PO0037988,VND00375,Chemicals,SKU5672,2022-09-29,2022-10-27,2022-10-27,4207,37.08,155995.56,Partially Received,WH10,0,0,2022-09,2022Q3
PO0016358,VND00970,Textiles,SKU5737,2022-10-29,2022-11-11,2022-11-13,317,358.77,113730.09,Cancelled,WH05,2,1,2022-10,2022Q4
PO0006123,VND00948,Packaging,SKU4849,2021-11-22,2021-12-15,2021-12-20,4697,1176.93,5528040.21,In Transit,WH06,5,1,2021-11,2021Q4
PO0013193,VND00985,Electronics,SKU3430,2024-05-17,2024-06-05,2024-06-05,3467,2050.01,7107384.67,Received,WH01,0,0,2024-05,2024Q2
PO0039123,VND00692,IT Equipment,SKU2036,2024-10-15,2024-11-08,2024-11-08,4857,266.5,1294390.5,Cancelled,WH09,0,0,2024-10,2024Q4
PO0004534,VND00828,Chemicals,SKU4940,2021-08-22,2021-09-03,2021-09-18,841,3189.69,2682529.29,Cancelled,WH06,15,1,2021-08,2021Q3
PO0031373,VND00448,Textiles,SKU5951,2021-11-11,2021-11-26,2021-12-26,1489,2584.77,3848722.53,Pending,WH03,30,1,2021-11,2021Q4
PO0005583,VND00503,IT Equipment,SKU2841,2022-07-15,2022-08-07,2022-08-07,4609,307.09,1415377.81,Cancelled,WH05,0,0,2022-07,2022Q3
PO0016414,VND00128,Textiles,SKU4202,2023-01-25,2023-02-14,2023-02-24,4889,2756.87,13478337.43,Pending,WH10,10,1,2023-01,2023Q1
PO0005379,VND00411,Chemicals,SKU4611,2023-01-23,2023-02-12,2023-02-22,632,1221.71,772120.72,Pending,WH09,10,1,2023-01,2023Q1
PO0015006,VND00029,Raw Material,SKU4258,2023-01-13,2023-01-22,2023-01-19,4004,2367.04,9477628.16,Unknown,WH09,-3,0,2023-01,2023Q1
PO0006129,VND00333,Machinery,SKU4485,2023-05-07,2023-06-03,2023-06-03,3511,4280.07,15027325.77,Pending,WH05,0,0,2023-05,2023Q2
PO0035853,VND00291,Textiles,SKU3047,2021-05-30,2021-06-18,2021-06-20,4381,4785.73,20966283.13,In Transit,WH04,2,1,2021-05,2021Q2
PO0045391,VND00210,Raw Material,SKU5720,2021-07-07,2021-07-30,2021-08-01,2325,4188.45,9738146.25,Pending,WH10,2,1,2021-07,2021Q3
PO0022753,VND00138,Spare Parts,SKU4884,2021-01-02,2021-01-09,2021-01-09,4404,1754.89,7728535.56,Unknown,WH04,0,0,2021-01,2021Q1
PO0026408,VND00294,Electronics,SKU1413,2024-01-04,2024-01-29,2024-01-26,58,1157.08,67110.64,Received,WH01,-3,0,2024-01,2024Q1
PO0017199,VND00898,Packaging,SKU3976,2022-10-25,2022-11-15,2022-11-15,1125,2224.31,2502348.75,Cancelled,WH10,0,0,2022-10,2022Q4
PO0012145,VND00485,Spare Parts,SKU1482,2024-04-26,2024-05-12,2024-05-12,4575,979.37,4480617.75,Cancelled,WH06,0,0,2024-04,2024Q2
PO0021562,VND00050,Machinery,SKU4970,2024-03-02,2024-03-30,2024-03-30,3843,1017.26,3909330.18,Partially Received,WH06,0,0,2024-03,2024Q1
PO0014869,VND00460,Raw Material,SKU4587,2024-11-13,2024-11-19,2024-11-21,3954,1043.11,4124456.94,Cancelled,WH06,2,1,2024-11,2024Q4
PO0008090,VND00140,Machinery,SKU4873,2022-01-08,2022-01-26,2022-01-26,3700,3869.62,14317594.0,Partially Received,WH07,0,0,2022-01,2022Q1
PO0034285,VND00869,Packaging,SKU1942,2021-04-25,2021-05-23,2021-06-02,736,2530.85,1862705.6,In Transit,WH02,10,1,2021-04,2021Q2
PO0049667,VND00960,Textiles,SKU5716,2022-07-14,2022-07-27,2022-07-24,3781,4194.54,15859555.74,Cancelled,WH03,-3,0,2022-07,2022Q3
PO0020349,VND00385,Raw Material,SKU3009,2021-09-23,2021-10-07,2021-10-22,2275,2664.77,6062351.75,Pending,WH03,15,1,2021-09,2021Q3
PO0012908,VND00862,Packaging,SKU3140,2021-05-15,2021-05-26,2021-05-28,2946,1003.91,2957518.86,Pending,WH05,2,1,2021-05,2021Q2
PO0009416,VND00613,IT Equipment,SKU2530,2024-03-06,2024-03-22,2024-03-27,3509,2166.68,7602880.12,Received,WH09,5,1,2024-03,2024Q1
PO0013506,VND00848,Chemicals,SKU1681,2022-06-23,2022-07-16,2022-07-21,3830,471.27,1804964.1,In Transit,WH10,5,1,2022-06,2022Q2
PO0015158,VND00173,Spare Parts,SKU2961,2021-03-13,2021-03-28,2021-04-12,886,1734.99,1537201.14,Received,WH08,15,1,2021-03,2021Q1
PO0006875,VND00231,Raw Material,SKU4805,2022-01-07,2022-01-12,2022-01-22,595,2023.37,1203905.15,Partially Received,WH06,10,1,2022-01,2022Q1
PO0029723,VND00073,Packaging,SKU1339,2022-02-05,2022-02-17,2022-02-14,588,3764.52,2213537.76,In Transit,WH09,-3,0,2022-02,2022Q1
PO0028101,VND00302,Spare Parts,SKU1413,2022-09-19,2022-10-01,2022-09-28,1621,1342.25,2175787.25,Partially Received,WH01,-3,0,2022-09,2022Q3
PO0040689,VND00546,Chemicals,SKU4715,2022-02-12,2022-03-13,2022-03-10,3097,1306.87,4047376.39,Cancelled,WH03,-3,0,2022-02,2022Q1
