Vendor_ID,Vendor_Name,Vendor_Category,Country,Reliability_Score,Reliability_Score_Flag,Lead_Time_Days,Vendor_Tier,Contact_Email,Active_Since_Year
VND00374,Vendor_0374,Logistics,Unknown,77.8,Valid,18,Tier 2,contact373@vendor373.com,
VND00894,Vendor_0894,Machinery,USA,57.8,Valid,17,Tier 3,contact893@vendor893.com,2015
VND00675,Vendor_0675,Machinery,Thailand,58.7,Valid,36,Tier 3,contact674@vendor674.com,2013
VND00749,Vendor_0749,Machinery,South Korea,93.5,Valid,26,Tier 1,contact748@vendor748.com,2016
VND00063,Vendor_0063,Textiles,China,88.0,Valid,27,Tier 1,contact62@vendor62.com,2014
VND00522,Vendor_0522,Chemicals,South Korea,56.7,Valid,12,Tier 3,contact521@vendor521.com,2007
VND00902,Vendor_0902,Electronics,USA,31.9,Valid,37,Tier 3,contact901@vendor901.com,2021
VND00262,Vendor_0262,Electronics,Malaysia,99.3,Valid,16,Tier 1,contact261@vendor261.com,2012
VND00070,Vendor_0070,Electronics,Thailand,99.1,Valid,37,Tier 1,contact69@vendor69.com,2009
VND00921,Vendor_0921,Chemicals,Germany,90.8,Valid,20,Tier 1,contact920@vendor920.com,2008
VND00073,Vendor_0073,Packaging,Vietnam,30.4,Valid,32,Tier 3,contact72@vendor72.com,2007
VND00838,Vendor_0838,IT Services,USA,55.4,Valid,31,Tier 3,contact837@vendor837.com,2005
VND00251,Vendor_0251,Textiles,China,,Out of Range (0-100),6,Unclassified,contact250@vendor250.com,2010
VND00610,Vendor_0610,IT Services,Malaysia,78.3,Valid,30,Tier 2,contact609@vendor609.com,2010
VND00950,Vendor_0950,IT Services,Malaysia,71.8,Valid,34,Tier 2,contact949@vendor949.com,2009
VND00167,Vendor_0167,Packaging,Germany,52.5,Valid,17,Tier 3,contact166@vendor166.com,2015
VND00856,Vendor_0856,Machinery,South Korea,43.3,Valid,7,Tier 3,contact855@vendor855.com,2012
VND00721,Vendor_0721,Unknown,Thailand,95.7,Valid,9,Tier 1,contact720@vendor720.com,2019
VND00982,Vendor_0982,Packaging,Vietnam,84.0,Valid,30,Tier 1,contact981@vendor981.com,2020
VND00415,Vendor_0415,Chemicals,India,74.2,Valid,30,Tier 2,contact414@vendor414.com,2006
VND00589,Vendor_0589,Machinery,Bangladesh,39.0,Valid,12,Tier 3,contact588@vendor588.com,
VND00844,Vendor_0844,Machinery,Thailand,97.3,Valid,14,Tier 1,contact843@vendor843.com,2014
VND00665,Vendor_0665,Machinery,China,37.1,Valid,28,Tier 3,contact664@vendor664.com,2006
VND00562,Vendor_0562,Raw Material,Thailand,44.9,Valid,14,Tier 3,contact561@vendor561.com,2021
VND00051,Vendor_0051,Chemicals,Bangladesh,97.9,Valid,37,Tier 1,contact50@vendor50.com,2009
VND00217,Vendor_0217,Electronics,Vietnam,52.8,Valid,16,Tier 3,contact216@vendor216.com,2017
VND00191,Vendor_0191,Raw Material,Vietnam,36.5,Valid,26,Tier 3,contact190@vendor190.com,2017
VND00572,Vendor_0572,Textiles,Japan,84.9,Valid,40,Tier 1,contact571@vendor571.com,2007
VND00560,Vendor_0560,IT Services,Japan,73.4,Valid,35,Tier 2,contact559@vendor559.com,2013
VND00824,Vendor_0824,Raw Material,Bangladesh,57.9,Valid,4,Tier 3,contact823@vendor823.com,2022
VND00153,Vendor_0153,IT Services,China,40.1,Valid,11,Tier 3,contact152@vendor152.com,2020
VND00641,Vendor_0641,Electronics,Germany,31.4,Valid,23,Tier 3,contact640@vendor640.com,2014
VND00915,Vendor_0915,Textiles,South Korea,68.6,Valid,23,Tier 2,contact914@vendor914.com,2021
VND00914,Vendor_0914,Machinery,Vietnam,,Out of Range (0-100),17,Unclassified,contact913@vendor913.com,2007
VND00602,Vendor_0602,Machinery,Vietnam,49.5,Valid,3,Tier 3,contact601@vendor601.com,2010
VND00546,Vendor_0546,Logistics,Japan,55.1,Valid,8,Tier 3,contact545@vendor545.com,2022
VND00961,Vendor_0961,Electronics,Germany,35.8,Valid,31,Tier 3,contact960@vendor960.com,2006
VND00009,Vendor_0009,Machinery,South Korea,72.1,Valid,25,Tier 2,contact8@vendor8.com,2010
VND00348,Vendor_0348,Packaging,USA,33.2,Valid,10,Tier 3,contact347@vendor347.com,2021
VND00885,Vendor_0885,Packaging,Germany,86.0,Valid,13,Tier 1,contact884@vendor884.com,2010
VND00673,Vendor_0673,Electronics,USA,35.6,Valid,14,Tier 3,contact672@vendor672.com,2022
VND00032,Vendor_0032,Logistics,Bangladesh,41.9,Valid,16,Tier 3,contact31@vendor31.com,2012
VND00202,Vendor_0202,Logistics,USA,35.9,Valid,29,Tier 3,contact201@vendor201.com,2017
VND00895,Vendor_0895,Packaging,Bangladesh,76.8,Valid,24,Tier 2,contact894@vendor894.com,2021
VND00601,Vendor_0601,Raw Material,South Korea,41.8,Valid,35,Tier 3,Not Provided,2018
VND00526,Vendor_0526,Packaging,Japan,62.8,Valid,12,Tier 2,contact525@vendor525.com,2009
VND00440,Vendor_0440,Textiles,China,35.7,Valid,34,Tier 3,contact439@vendor439.com,2008
VND00588,Vendor_0588,Machinery,Vietnam,39.0,Valid,28,Tier 3,contact587@vendor587.com,2018
VND00310,Vendor_0310,Chemicals,China,49.0,Valid,22,Tier 3,contact309@vendor309.com,2006
VND00213,Vendor_0213,Packaging,South Korea,75.6,Valid,33,Tier 2,contact212@vendor212.com,2013
VND00991,Vendor_0991,Packaging,Bangladesh,86.0,Valid,19,Tier 1,contact990@vendor990.com,2005
VND00016,Vendor_0016,Chemicals,Bangladesh,42.8,Valid,27,Tier 3,contact15@vendor15.com,2009
VND00527,Vendor_0527,Machinery,India,59.0,Valid,31,Tier 3,contact526@vendor526.com,2016
VND00930,Vendor_0930,Raw Material,Vietnam,48.1,Valid,38,Tier 3,contact929@vendor929.com,2015
VND00047,Vendor_0047,Logistics,Bangladesh,51.8,Valid,19,Tier 3,contact46@vendor46.com,2011
VND00185,Vendor_0185,Machinery,Unknown,48.1,Valid,36,Tier 3,contact184@vendor184.com,2012
VND00429,Vendor_0429,Textiles,Vietnam,54.6,Valid,13,Tier 3,contact428@vendor428.com,2015
VND00369,Vendor_0369,Logistics,Bangladesh,43.7,Valid,43,Tier 3,contact368@vendor368.com,2015
VND00826,Vendor_0826,Chemicals,Vietnam,94.4,Valid,4,Tier 1,contact825@vendor825.com,2014
VND00190,Vendor_0190,Raw Material,China,46.9,Valid,8,Tier 3,contact189@vendor189.com,2007
VND00763,Vendor_0763,Machinery,Bangladesh,47.4,Valid,35,Tier 3,contact762@vendor762.com,2015
VND00306,Vendor_0306,Chemicals,Vietnam,98.3,Valid,8,Tier 1,contact305@vendor305.com,2007
VND00314,Vendor_0314,Electronics,Bangladesh,97.4,Valid,37,Tier 1,contact313@vendor313.com,2008
VND00345,Vendor_0345,Unknown,Malaysia,57.9,Valid,0,Tier 3,contact344@vendor344.com,2022
VND00239,Vendor_0239,Electronics,USA,75.2,Valid,34,Tier 2,contact238@vendor238.com,2007
VND00038,Vendor_0038,Logistics,Thailand,36.8,Valid,31,Tier 3,Not Provided,2016
VND00179,Vendor_0179,IT Services,South Korea,95.6,Valid,19,Tier 1,contact178@vendor178.com,2012
VND00539,Vendor_0539,Textiles,Bangladesh,61.5,Valid,30,Tier 2,Not Provided,2011
VND00212,Vendor_0212,Textiles,Bangladesh,78.4,Valid,41,Tier 2,contact211@vendor211.com,2015
VND00317,Vendor_0317,Machinery,Thailand,58.6,Valid,14,Tier 3,Not Provided,2010
VND00085,Vendor_0085,Chemicals,Unknown,51.8,Valid,32,Tier 3,contact84@vendor84.com,2007
VND00406,Vendor_0406,Machinery,Japan,92.7,Valid,8,Tier 1,contact405@vendor405.com,2009
VND00168,Vendor_0168,Textiles,USA,43.1,Valid,40,Tier 3,contact167@vendor167.com,2018
VND00643,Vendor_0643,Logistics,Germany,44.8,Valid,3,Tier 3,contact642@vendor642.com,2008
VND00344,Vendor_0344,Packaging,Vietnam,60.4,Valid,40,Tier 2,contact343@vendor343.com,2017
VND00735,Vendor_0735,Raw Material,Malaysia,55.1,Valid,11,Tier 3,contact734@vendor734.com,2013
VND00653,Vendor_0653,Logistics,South Korea,71.1,Valid,37,Tier 2,contact652@vendor652.com,2007
VND00642,Vendor_0642,Packaging,China,52.5,Valid,17,Tier 3,contact641@vendor641.com,2017
VND00249,Vendor_0249,Raw Material,USA,97.5,Valid,34,Tier 1,contact248@vendor248.com,2006
VND00815,Vendor_0815,Textiles,South Korea,90.9,Valid,34,Tier 1,contact814@vendor814.com,2013
VND00169,Vendor_0169,IT Services,Japan,32.9,Valid,10,Tier 3,contact168@vendor168.com,2007
VND00318,Vendor_0318,Raw Material,USA,42.1,Valid,20,Tier 3,contact317@vendor317.com,2019
VND00353,Vendor_0353,Machinery,Unknown,76.1,Valid,23,Tier 2,contact352@vendor352.com,2012
VND00254,Vendor_0254,Raw Material,Japan,52.2,Valid,14,Tier 3,contact253@vendor253.com,2018
VND00069,Vendor_0069,Chemicals,India,35.2,Valid,4,Tier 3,contact68@vendor68.com,2008
VND00379,Vendor_0379,Logistics,Japan,87.0,Valid,12,Tier 1,contact378@vendor378.com,2018
VND00819,Vendor_0819,Packaging,Thailand,33.8,Valid,10,Tier 3,contact818@vendor818.com,2014
VND00449,Vendor_0449,Textiles,China,56.3,Valid,5,Tier 3,contact448@vendor448.com,2022
VND00423,Vendor_0423,Logistics,China,36.4,Valid,24,Tier 3,contact422@vendor422.com,2022
VND00927,Vendor_0927,Electronics,Japan,48.8,Valid,4,Tier 3,contact926@vendor926.com,2022
VND00439,Vendor_0439,Machinery,India,79.4,Valid,31,Tier 2,contact438@vendor438.com,2010
VND00004,Vendor_0004,Chemicals,Malaysia,71.9,Valid,21,Tier 2,contact3@vendor3.com,2019
VND00814,Vendor_0814,Electronics,Unknown,94.5,Valid,29,Tier 1,contact813@vendor813.com,2021
VND00024,Vendor_0024,Logistics,USA,55.6,Valid,18,Tier 3,contact23@vendor23.com,2015
VND00976,Vendor_0976,Packaging,USA,48.4,Valid,25,Tier 3,contact975@vendor975.com,2015
VND00189,Vendor_0189,Chemicals,Malaysia,67.1,Valid,35,Tier 2,contact188@vendor188.com,2013
VND00382,Vendor_0382,Textiles,Vietnam,78.8,Valid,35,Tier 2,contact381@vendor381.com,2011
VND00283,Vendor_0283,Packaging,Malaysia,56.3,Valid,37,Tier 3,contact282@vendor282.com,2008
VND00322,Vendor_0322,Chemicals,USA,80.0,Valid,10,Tier 1,contact321@vendor321.com,2017
VND00600,Vendor_0600,Raw Material,USA,32.9,Valid,6,Tier 3,contact599@vendor599.com,2010
VND00271,Vendor_0271,Machinery,Thailand,86.7,Valid,35,Tier 1,contact270@vendor270.com,2020
VND00420,Vendor_0420,Logistics,Vietnam,82.7,Valid,18,Tier 1,contact419@vendor419.com,2022
VND00046,Vendor_0046,Packaging,Germany,76.4,Valid,41,Tier 2,contact45@vendor45.com,2015
VND00103,Vendor_0103,Textiles,India,52.0,Valid,26,Tier 3,Not Provided,2022
VND00112,Vendor_0112,Logistics,India,41.3,Valid,15,Tier 3,contact111@vendor111.com,2020
VND00904,Vendor_0904,Logistics,Germany,70.8,Valid,26,Tier 2,contact903@vendor903.com,2012
VND00368,Vendor_0368,Machinery,India,93.4,Valid,26,Tier 1,contact367@vendor367.com,2012
VND00765,Vendor_0765,Machinery,Bangladesh,32.3,Valid,19,Tier 3,contact764@vendor764.com,2013
VND00933,Vendor_0933,Electronics,South Korea,98.9,Valid,3,Tier 1,contact932@vendor932.com,2015
VND00388,Vendor_0388,Logistics,South Korea,42.4,Valid,32,Tier 3,contact387@vendor387.com,2020
VND00413,Vendor_0413,Logistics,Malaysia,96.5,Valid,10,Tier 1,contact412@vendor412.com,2021
VND00960,Vendor_0960,Logistics,Thailand,81.7,Valid,34,Tier 1,contact959@vendor959.com,2017
VND00556,Vendor_0556,Textiles,China,58.2,Valid,37,Tier 3,contact555@vendor555.com,2009
VND00946,Vendor_0946,Machinery,China,30.8,Valid,27,Tier 3,contact945@vendor945.com,2013
VND00279,Vendor_0279,Textiles,Thailand,79.1,Valid,36,Tier 2,contact278@vendor278.com,2013
VND00132,Vendor_0132,IT Services,Thailand,45.5,Valid,44,Tier 3,contact131@vendor131.com,2009
VND00133,Vendor_0133,Logistics,China,38.4,Valid,37,Tier 3,contact132@vendor132.com,2019
VND00040,Vendor_0040,Unknown,China,60.8,Valid,33,Tier 2,contact39@vendor39.com,2011
VND00416,Vendor_0416,Chemicals,Bangladesh,61.4,Valid,22,Tier 2,contact415@vendor415.com,2010
VND00918,Vendor_0918,Logistics,Thailand,96.4,Valid,29,Tier 1,contact917@vendor917.com,2012
VND00692,Vendor_0692,IT Services,China,59.8,Valid,15,Tier 3,contact691@vendor691.com,2018
VND00732,Vendor_0732,IT Services,China,87.0,Valid,23,Tier 1,Not Provided,2017
VND00712,Vendor_0712,IT Services,India,71.7,Valid,27,Tier 2,contact711@vendor711.com,2013
VND00109,Vendor_0109,IT Services,Japan,46.0,Valid,41,Tier 3,contact108@vendor108.com,2014
VND00371,Vendor_0371,Packaging,Germany,37.1,Valid,14,Tier 3,contact370@vendor370.com,2016
VND00282,Vendor_0282,Packaging,Thailand,,Out of Range (0-100),19,Unclassified,contact281@vendor281.com,2005
VND00076,Vendor_0076,Machinery,Vietnam,81.0,Valid,20,Tier 1,contact75@vendor75.com,2007
VND00955,Vendor_0955,Chemicals,South Korea,59.3,Valid,16,Tier 3,contact954@vendor954.com,2015
VND00667,Vendor_0667,Electronics,Vietnam,47.2,Valid,4,Tier 3,contact666@vendor666.com,2007
VND00312,Vendor_0312,Chemicals,China,35.5,Valid,17,Tier 3,contact311@vendor311.com,2014
VND00521,Vendor_0521,Textiles,Japan,71.6,Valid,13,Tier 2,contact520@vendor520.com,2012
VND00256,Vendor_0256,Packaging,Thailand,69.0,Valid,19,Tier 2,contact255@vendor255.com,2020
VND00197,Vendor_0197,Electronics,Japan,80.8,Valid,43,Tier 1,contact196@vendor196.com,2005
VND00919,Vendor_0919,IT Services,Malaysia,83.5,Valid,4,Tier 1,Not Provided,2010
VND00221,Vendor_0221,Electronics,China,76.0,Valid,0,Tier 2,contact220@vendor220.com,2017
VND00237,Vendor_0237,Machinery,USA,49.7,Valid,12,Tier 3,contact236@vendor236.com,2014
VND00512,Vendor_0512,Chemicals,China,59.3,Valid,37,Tier 3,contact511@vendor511.com,2013
VND00462,Vendor_0462,Packaging,Thailand,75.4,Valid,22,Tier 2,contact461@vendor461.com,2012
VND00750,Vendor_0750,Textiles,South Korea,73.7,Valid,21,Tier 2,contact749@vendor749.com,2013
VND00193,Vendor_0193,Unknown,Bangladesh,93.0,Valid,18,Tier 1,contact192@vendor192.com,2012
VND00797,Vendor_0797,Textiles,China,95.2,Valid,41,Tier 1,contact796@vendor796.com,2019
VND00389,Vendor_0389,Packaging,South Korea,82.5,Valid,35,Tier 1,contact388@vendor388.com,
VND00105,Vendor_0105,Logistics,Japan,,Out of Range (0-100),22,Unclassified,contact104@vendor104.com,2005
VND00041,Vendor_0041,IT Services,China,38.5,Valid,32,Tier 3,contact40@vendor40.com,2020
VND00203,Vendor_0203,Raw Material,Thailand,41.3,Valid,40,Tier 3,contact202@vendor202.com,2019
VND00315,Vendor_0315,Machinery,Japan,88.5,Valid,27,Tier 1,contact314@vendor314.com,2006
VND00266,Vendor_0266,Chemicals,Vietnam,81.9,Valid,37,Tier 1,contact265@vendor265.com,2006
VND00740,Vendor_0740,Textiles,Vietnam,56.4,Valid,26,Tier 3,contact739@vendor739.com,2020
VND00425,Vendor_0425,Textiles,Germany,34.0,Valid,5,Tier 3,contact424@vendor424.com,2021
VND00506,Vendor_0506,Electronics,Vietnam,41.4,Valid,41,Tier 3,Not Provided,
VND00917,Vendor_0917,Electronics,Japan,50.6,Valid,4,Tier 3,contact916@vendor916.com,2011
VND00590,Vendor_0590,Electronics,Thailand,40.6,Valid,32,Tier 3,Not Provided,2010
VND00058,Vendor_0058,Packaging,USA,43.7,Valid,41,Tier 3,contact57@vendor57.com,2020
VND00847,Vendor_0847,Machinery,Vietnam,36.0,Valid,14,Tier 3,contact846@vendor846.com,2022
VND00893,Vendor_0893,Chemicals,Bangladesh,88.1,Valid,24,Tier 1,contact892@vendor892.com,2015
VND00324,Vendor_0324,Electronics,Japan,49.6,Valid,19,Tier 3,contact323@vendor323.com,2017
VND00932,Vendor_0932,IT Services,Vietnam,88.4,Valid,16,Tier 1,contact931@vendor931.com,2018
VND00940,Vendor_0940,Textiles,Bangladesh,70.4,Valid,15,Tier 2,contact939@vendor939.com,
VND00181,Vendor_0181,Textiles,South Korea,53.9,Valid,26,Tier 3,contact180@vendor180.com,2016
VND00458,Vendor_0458,Electronics,Malaysia,62.8,Valid,32,Tier 2,contact457@vendor457.com,2021
VND00911,Vendor_0911,Electronics,USA,71.3,Valid,9,Tier 2,contact910@vendor910.com,2006
VND00454,Vendor_0454,Packaging,India,93.4,Valid,17,Tier 1,contact453@vendor453.com,2007
VND00617,Vendor_0617,Electronics,Malaysia,34.3,Valid,15,Tier 3,Not Provided,2016
VND00752,Vendor_0752,IT Services,Vietnam,95.8,Valid,41,Tier 1,contact751@vendor751.com,2011
VND00206,Vendor_0206,Unknown,China,30.6,Valid,33,Tier 3,contact205@vendor205.com,2017
VND00346,Vendor_0346,Textiles,Germany,73.1,Valid,4,Tier 2,contact345@vendor345.com,2006
VND00463,Vendor_0463,Raw Material,South Korea,82.2,Valid,39,Tier 1,contact462@vendor462.com,2015
VND00922,Vendor_0922,Logistics,Japan,64.1,Valid,16,Tier 2,contact921@vendor921.com,2016
VND00970,Vendor_0970,Logistics,Vietnam,63.3,Valid,27,Tier 2,contact969@vendor969.com,2015
VND00992,Vendor_0992,Machinery,USA,78.6,Valid,39,Tier 2,contact991@vendor991.com,2010
VND00871,Vendor_0871,IT Services,Thailand,56.1,Valid,14,Tier 3,contact870@vendor870.com,2016
VND00971,Vendor_0971,Electronics,Malaysia,76.5,Valid,4,Tier 2,Not Provided,2012
VND00404,Vendor_0404,Machinery,China,87.9,Valid,8,Tier 1,contact403@vendor403.com,2011
VND00901,Vendor_0901,IT Services,India,44.6,Valid,20,Tier 3,contact900@vendor900.com,2017
VND00817,Vendor_0817,Electronics,South Korea,71.4,Valid,10,Tier 2,contact816@vendor816.com,2018
VND00906,Vendor_0906,Chemicals,Vietnam,92.5,Valid,32,Tier 1,contact905@vendor905.com,
VND00485,Vendor_0485,Logistics,South Korea,70.9,Valid,17,Tier 2,contact484@vendor484.com,2012
VND00089,Vendor_0089,Chemicals,Germany,92.1,Valid,7,Tier 1,contact88@vendor88.com,2010
VND00608,Vendor_0608,IT Services,India,55.5,Valid,43,Tier 3,contact607@vendor607.com,2021
VND00129,Vendor_0129,IT Services,Japan,30.5,Valid,11,Tier 3,contact128@vendor128.com,2007
VND00034,Vendor_0034,Chemicals,Unknown,96.4,Valid,9,Tier 1,contact33@vendor33.com,2010
VND00460,Vendor_0460,Packaging,China,38.3,Valid,33,Tier 3,contact459@vendor459.com,2005
VND00605,Vendor_0605,Electronics,Japan,,Out of Range (0-100),18,Unclassified,contact604@vendor604.com,2007
VND00551,Vendor_0551,Machinery,Thailand,66.4,Valid,39,Tier 2,contact550@vendor550.com,2017
VND00862,Vendor_0862,Textiles,Malaysia,61.7,Valid,22,Tier 2,contact861@vendor861.com,2015
VND00905,Vendor_0905,Textiles,South Korea,59.5,Valid,44,Tier 3,contact904@vendor904.com,2007
VND00611,Vendor_0611,Chemicals,South Korea,32.8,Valid,4,Tier 3,contact610@vendor610.com,2006
VND00776,Vendor_0776,Logistics,Malaysia,40.5,Valid,16,Tier 3,contact775@vendor775.com,2020
VND00728,Vendor_0728,Logistics,Germany,85.7,Valid,3,Tier 1,contact727@vendor727.com,2015
VND00625,Vendor_0625,Electronics,China,73.3,Valid,40,Tier 2,contact624@vendor624.com,2022
VND00364,Vendor_0364,Machinery,USA,68.2,Valid,43,Tier 2,contact363@vendor363.com,2014
VND00803,Vendor_0803,Textiles,Vietnam,70.3,Valid,5,Tier 2,contact802@vendor802.com,2020
VND00890,Vendor_0890,Packaging,India,47.0,Valid,20,Tier 3,contact889@vendor889.com,2011
VND00377,Vendor_0377,IT Services,South Korea,89.1,Valid,22,Tier 1,contact376@vendor376.com,2006
VND00155,Vendor_0155,Textiles,Unknown,99.0,Valid,27,Tier 1,contact154@vendor154.com,2009
VND00928,Vendor_0928,Packaging,Germany,67.9,Valid,22,Tier 2,contact927@vendor927.com,2019
VND00583,Vendor_0583,Electronics,India,64.5,Valid,40,Tier 2,contact582@vendor582.com,2008
VND00972,Vendor_0972,Logistics,China,95.6,Valid,22,Tier 1,contact971@vendor971.com,2017
VND00432,Vendor_0432,Textiles,India,83.3,Valid,25,Tier 1,contact431@vendor431.com,2019
VND00773,Vendor_0773,Textiles,Malaysia,38.9,Valid,13,Tier 3,contact772@vendor772.com,2007
VND00618,Vendor_0618,Textiles,Germany,49.4,Valid,11,Tier 3,contact617@vendor617.com,2021
VND00812,Vendor_0812,Machinery,Unknown,88.7,Valid,24,Tier 1,contact811@vendor811.com,2012
VND00873,Vendor_0873,Logistics,Japan,75.1,Valid,36,Tier 2,contact872@vendor872.com,2020
VND00646,Vendor_0646,Packaging,Malaysia,92.3,Valid,17,Tier 1,contact645@vendor645.com,2021
VND00170,Vendor_0170,IT Services,Japan,71.4,Valid,7,Tier 2,contact169@vendor169.com,2011
VND00966,Vendor_0966,Raw Material,Germany,54.9,Valid,7,Tier 3,contact965@vendor965.com,2005
VND00469,Vendor_0469,Chemicals,Japan,45.7,Valid,43,Tier 3,contact468@vendor468.com,2006
VND00635,Vendor_0635,Machinery,Japan,37.5,Valid,21,Tier 3,contact634@vendor634.com,2016
VND00255,Vendor_0255,Chemicals,Japan,41.9,Valid,24,Tier 3,contact254@vendor254.com,2017
VND00426,Vendor_0426,Textiles,India,68.5,Valid,43,Tier 2,contact425@vendor425.com,2014
VND00629,Vendor_0629,Logistics,China,32.6,Valid,8,Tier 3,contact628@vendor628.com,2008
VND00931,Vendor_0931,Machinery,Malaysia,39.8,Valid,33,Tier 3,contact930@vendor930.com,2018
VND00036,Vendor_0036,Machinery,Malaysia,86.6,Valid,10,Tier 1,contact35@vendor35.com,2016
VND00777,Vendor_0777,Logistics,Japan,46.0,Valid,15,Tier 3,contact776@vendor776.com,2005
VND00623,Vendor_0623,Packaging,China,55.9,Valid,6,Tier 3,contact622@vendor622.com,2012
VND00729,Vendor_0729,Machinery,Bangladesh,44.1,Valid,44,Tier 3,contact728@vendor728.com,2020
VND00700,Vendor_0700,Chemicals,South Korea,63.7,Valid,30,Tier 2,Not Provided,2011
VND00086,Vendor_0086,IT Services,Germany,52.8,Valid,27,Tier 3,contact85@vendor85.com,2006
VND00537,Vendor_0537,Logistics,Bangladesh,89.5,Valid,3,Tier 1,contact536@vendor536.com,2007
VND00342,Vendor_0342,Textiles,USA,63.1,Valid,38,Tier 2,contact341@vendor341.com,2008
VND00640,Vendor_0640,Machinery,Unknown,56.4,Valid,27,Tier 3,contact639@vendor639.com,2020
VND00739,Vendor_0739,Raw Material,Germany,60.7,Valid,12,Tier 2,contact738@vendor738.com,2005
VND00084,Vendor_0084,Raw Material,Thailand,34.4,Valid,12,Tier 3,contact83@vendor83.com,2012
VND00187,Vendor_0187,Raw Material,Bangladesh,87.2,Valid,29,Tier 1,contact186@vendor186.com,2020
VND00081,Vendor_0081,Packaging,Japan,90.4,Valid,31,Tier 1,contact80@vendor80.com,2017
VND00039,Vendor_0039,Chemicals,Bangladesh,77.9,Valid,20,Tier 2,contact38@vendor38.com,2009
VND00427,Vendor_0427,Chemicals,Vietnam,60.9,Valid,44,Tier 2,contact426@vendor426.com,2006
VND00867,Vendor_0867,Textiles,Bangladesh,40.9,Valid,41,Tier 3,contact866@vendor866.com,2022
VND00094,Vendor_0094,Electronics,China,69.3,Valid,32,Tier 2,contact93@vendor93.com,2018
VND00495,Vendor_0495,Chemicals,Vietnam,62.5,Valid,16,Tier 2,contact494@vendor494.com,2014
VND00725,Vendor_0725,IT Services,Japan,70.2,Valid,22,Tier 2,contact724@vendor724.com,2013
VND00352,Vendor_0352,Unknown,China,90.0,Valid,10,Tier 1,contact351@vendor351.com,2013
VND00478,Vendor_0478,Raw Material,China,68.8,Valid,41,Tier 2,contact477@vendor477.com,2018
VND00503,Vendor_0503,Textiles,India,51.7,Valid,27,Tier 3,contact502@vendor502.com,2005
VND00576,Vendor_0576,Machinery,Vietnam,96.5,Valid,44,Tier 1,contact575@vendor575.com,2016
VND00724,Vendor_0724,Chemicals,South Korea,81.9,Valid,22,Tier 1,contact723@vendor723.com,2008
VND00008,Vendor_0008,Logistics,India,90.6,Valid,19,Tier 1,contact7@vendor7.com,2010
VND00247,Vendor_0247,IT Services,Vietnam,60.0,Valid,6,Tier 2,contact246@vendor246.com,2020
VND00418,Vendor_0418,Packaging,Bangladesh,53.0,Valid,13,Tier 3,contact417@vendor417.com,2006
VND00811,Vendor_0811,Logistics,South Korea,98.9,Valid,15,Tier 1,contact810@vendor810.com,2017
VND00336,Vendor_0336,Chemicals,Bangladesh,32.9,Valid,27,Tier 3,Not Provided,2007
VND00245,Vendor_0245,Logistics,Thailand,31.1,Valid,31,Tier 3,contact244@vendor244.com,2019
VND00299,Vendor_0299,Chemicals,Thailand,73.6,Valid,19,Tier 2,contact298@vendor298.com,2011
VND00107,Vendor_0107,Textiles,USA,58.7,Valid,39,Tier 3,contact106@vendor106.com,2020
VND00993,Vendor_0993,Raw Material,India,49.1,Valid,41,Tier 3,contact992@vendor992.com,2019
VND00753,Vendor_0753,Logistics,Germany,73.9,Valid,12,Tier 2,contact752@vendor752.com,2022
VND00125,Vendor_0125,Chemicals,Malaysia,46.0,Valid,8,Tier 3,Not Provided,2017
VND00929,Vendor_0929,Raw Material,Malaysia,74.3,Valid,35,Tier 2,contact928@vendor928.com,2015
VND00545,Vendor_0545,IT Services,South Korea,73.3,Valid,17,Tier 2,contact544@vendor544.com,2022
VND00745,Vendor_0745,Electronics,Vietnam,46.3,Valid,28,Tier 3,contact744@vendor744.com,2010
VND00311,Vendor_0311,Textiles,Vietnam,60.7,Valid,40,Tier 2,contact310@vendor310.com,2010
VND00870,Vendor_0870,Raw Material,India,96.2,Valid,18,Tier 1,contact869@vendor869.com,2005
VND00671,Vendor_0671,Machinery,South Korea,42.1,Valid,28,Tier 3,contact670@vendor670.com,2007
VND00357,Vendor_0357,IT Services,Vietnam,31.9,Valid,33,Tier 3,contact356@vendor356.com,2019
VND00996,Vendor_0996,Electronics,USA,36.4,Valid,40,Tier 3,contact995@vendor995.com,2016
VND00332,Vendor_0332,Chemicals,Vietnam,83.0,Valid,26,Tier 1,contact331@vendor331.com,2005
VND00543,Vendor_0543,Chemicals,Malaysia,46.0,Valid,39,Tier 3,contact542@vendor542.com,2017
VND00861,Vendor_0861,Logistics,Japan,84.3,Valid,23,Tier 1,contact860@vendor860.com,2020
VND00831,Vendor_0831,Textiles,Thailand,45.7,Valid,25,Tier 3,contact830@vendor830.com,2020
VND00272,Vendor_0272,Chemicals,South Korea,86.7,Valid,8,Tier 1,contact271@vendor271.com,2011
VND00578,Vendor_0578,Machinery,USA,94.9,Valid,23,Tier 1,contact577@vendor577.com,2005
VND00705,Vendor_0705,Packaging,Thailand,34.4,Valid,22,Tier 3,contact704@vendor704.com,2016
VND00050,Vendor_0050,Textiles,Bangladesh,42.9,Valid,26,Tier 3,contact49@vendor49.com,2009
VND00333,Vendor_0333,Textiles,USA,31.0,Valid,5,Tier 3,contact332@vendor332.com,2009
VND00852,Vendor_0852,Machinery,Thailand,82.5,Valid,32,Tier 1,contact851@vendor851.com,2012
